Peer-reviewed,Study,Sample,Gender,N,Age.classification,Combination,WM.type1,WM.type2,Math.type,Reported.Effect.Size,MA.TA.Description,MA.TA.Name,TA.GA.Description,TA.GA.Name,COGN.Description,COGN.Name,ACH.Description,ACH.Name
yes,"Ng et al., 2015","Ng et al., 2015",,121,Dev_Group,TA-Maths,,,arithmetic,-0.28,Test Anxiety-Low situational stress,TAI,,,,,Mathematic,Mathematic-low situational stress
yes,"Ng et al., 2015","Ng et al., 2015",,121,Dev_Group,GA-Maths,,,,-0.15,,,State Anxiety-Low situational stress,STAIC,,,Mathematic,Mathematic-low situational stress
yes,"Ng et al., 2015","Ng et al., 2015",,121,Dev_Group,WM-Maths,verbal,WM,arithmetic,0.33,,,,,Working memory-low situatonal stress,Self developed,Mathematic,Mathematic-low situational stress
yes,"Ng et al., 2015","Ng et al., 2015",,121,Dev_Group,WM-Maths,verbal,WM,arithmetic,0.47,,,,,Working memory-low situatonal stress,Self developed,Mathematic,Mathematic-low situational stress
yes,"Miller et al., 2004","Miller et al., 2004_male sample",males,38,Adult,MA-Maths,,,arithmetic,-0.53,,,,,,,,
yes,"Miller et al., 2004","Miller et al., 2004_female sample",females,62,Adult,MA-Maths,,,arithmetic,-0.37,,,,,,,,
yes,"Miller et al., 2004","Miller et al., 2004_male sample",males,38,Adult,MA-Maths,,,math_apply,-0.3,,,,,,,,
yes,"Miller et al., 2004","Miller et al., 2004_female sample",females,62,Adult,MA-Maths,,,math_apply,-0.33,,,,,,,,
yes,"Ganley et al., 2014","Ganley et al., 2014_Study1",,87,Adult,TA-WM,verbal,WM,,-0.25,Test Anxiety,Morris et al.,,,Working Memory,Listenig Span Task,,
yes,"Ganley et al., 2014","Ganley et al., 2014_Study1",,87,Adult,TA-WM,spatial,WM,,-0.41,Test Anxiety,Morris et al.,,,Working Memory,Spatial Recall Task,,
yes,"Ganley et al., 2014","Ganley et al., 2014_Study1",,87,Adult,TA-Maths,,,math_apply,-0.47,Test Anxiety,Morris et al.,,,,,Mathematic,Self-developed
yes,"Ganley et al., 2014","Ganley et al., 2014_Study1",,87,Adult,WM-Maths,verbal,WM,math_apply,0.19,,,,,Working Memory,Listenig Span Task,Mathematic,Self-developed
yes,"Ganley et al., 2014","Ganley et al., 2014_Study1",,87,Adult,WM-Maths,spatial,WM,math_apply,0.51,,,,,Working Memory,Spatial Recall Task,Mathematic,Self-developed
yes,"Ganley et al., 2014","Ganley et al., 2014_Study2",,118,Adult,TA-WM,verbal,WM,,0.01,Test Anxiety,Morris et al.,,,Working Memory,Listenig Span Task,,
yes,"Ganley et al., 2014","Ganley et al., 2014_Study2",,118,Adult,TA-WM,spatial,WM,,-0.39,Test Anxiety,Morris et al.,,,Working Memory,Spatial Recall Task,,
yes,"Ganley et al., 2014","Ganley et al., 2014_Study2",,118,Adult,TA-Maths,,,math_apply,-0.34,Test Anxiety,Morris et al.,,,,,Mathematic,Self-developed
yes,"Ganley et al., 2014","Ganley et al., 2014_Study2",,118,Adult,WM-Maths,verbal,WM,math_apply,-0.06,,,,,Working Memory,Listenig Span Task,Mathematic,Self-developed
yes,"Ganley et al., 2014","Ganley et al., 2014_Study2",,118,Adult,WM-Maths,spatial,WM,math_apply,0.41,,,,,Working Memory,Spatial Recall Task,Mathematic,Self-developed
yes,"Owens et al., 2008","Owens et al., 2008",,50,Dev_Group,GA-Maths,,,math_apply,-0.28,Test Anxiety,?STAIC,,,,,Mathematic,SATs
yes,"Owens et al., 2008","Owens et al., 2008",,50,Dev_Group,WM-Maths,verbal,WM,math_apply,0.49,,,,,Working Memory,Backward digits,Mathematic,SATs
yes,"Owens et al., 2008","Owens et al., 2008",,50,Dev_Group,WM-Maths,spatial,STM,math_apply,0.23,,,,,Working Memory,Forward spatial span,Mathematic,SATs
yes,"Prevatt et al., 2010","Prevatt et al., 2010",,115,Adult,MA-Maths,,,math_apply,-0.29,Math anxiety,LASSI -Learning and Study Strategies Inventory,,,,,Mathematic,WJ-III ACH
yes,"Prevatt et al., 2010","Prevatt et al., 2010",,115,Adult,MA-Maths,,,arithmetic,-0.39,Math anxiety,LASSI -Learning and Study Strategies Inventory,,,,,Mathematic,WJ-III ACH
yes,"Prevatt et al., 2010","Prevatt et al., 2010",,115,Adult,MA-Maths,,,arithmetic,-0.28,Math anxiety,LASSI -Learning and Study Strategies Inventory,,,,,Mathematic,WJ-III ACH
yes,"Prevatt et al., 2010","Prevatt et al., 2010",,115,Adult,MA-Maths,,,basic_know,-0.27,Math anxiety,LASSI -Learning and Study Strategies Inventory,,,,,Mathematic,WJ-III ACH
yes,"Prevatt et al., 2010","Prevatt et al., 2010",,115,Adult,MA-WM,verbal,STM,,-0.06,Math anxiety,LASSI -Learning and Study Strategies Inventory,,,Working Memory,Short term memory WJ-III,,
yes,"Prevatt et al., 2010","Prevatt et al., 2010",,115,Adult,WM-Maths,verbal,STM,math_apply,0.44,,,,,Working Memory,Short term memory WJ-III,Mathematic,WJ-III ACH
yes,"Prevatt et al., 2010","Prevatt et al., 2010",,115,Adult,WM-Maths,verbal,STM,arithmetic,0.26,,,,,Working Memory,Short term memory WJ-III,Mathematic,WJ-III ACH
yes,"Prevatt et al., 2010","Prevatt et al., 2010",,115,Adult,WM-Maths,verbal,STM,arithmetic,0.29,,,,,Working Memory,Short term memory WJ-III,Mathematic,WJ-III ACH
yes,"Prevatt et al., 2010","Prevatt et al., 2010",,115,Adult,WM-Maths,verbal,STM,basic_know,0.29,,,,,Working Memory,Short term memory WJ-III,Mathematic,WJ-III ACH
yes,"Ashkenazi et al., 2017","Ashkenazi et al., 2017",,58,Adult,MA-Maths,,,arithmetic,-0.54,Math anxiety,MARS-Short version,,,,,Mathematic,MATAL  - Procedural Know. + Calculation automaticity
